Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,M&M ,,,,,M&M Bother,,,
,,Rate ,Days,Total,,,Rate ,Days,Total
,Guide,900,10,9000,,Guide,1200,10,12000
,Car,1900,10,19000,,Car,1900,10,19000
,Fuel,350,10,3500,,Fuel,350,10,3500
,Meals,200,10,2000,,Meals,0,10,0
,Accomodation,1000,10,10000,,Accomodation,0,10,0
,Total,4350,,43500,,Total,3450,,34500
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Upfront costs ,,,,,Upfront costs ,,,
,Car deposit,,,3000,,Car deposit,,,3000
,50% Guide,,,4500,,50% Guide,,,6000
,50% Car hire,,,9500,,50% Car hire,,,9500
,,,,17000,,,,,18500
,Upfront Deposit,,,27000,,Upfront Deposit,,,27000
,Operating Profit,,,10000,,Operating Profit,,,8500
